review,rating,date
bagus sih tapi pas gua Musikan sambil ngegame suka gak keputer musik nya,5,2025-12-29 11:56:18
maaf ya .untuk lagu banyak yang gak keluar pas disearch,4,2025-12-29 11:47:19
sangat suka,5,2025-12-29 11:37:26
"iklannya ga benget sumpahhhh abis muter 2 lagu langsung dikasih 3 iklan dan durasinya panjang bikin muakkk jirrr, ngotak dikit lahhh ngasih iklan walaupun pengguna gratis tetep perhatiin kenyamanan pengguna",1,2025-12-29 11:23:37
mantap,5,2025-12-29 11:10:09
bagus sekali,5,2025-12-29 11:05:28
lov you,5,2025-12-29 10:59:42
sangat recommended untuk gen z yang suka dengerin musik,5,2025-12-29 10:50:45
ok,5,2025-12-29 10:49:12
"udah nga bisa offline lagi, ngak bisa di download",2,2025-12-29 10:45:20
sangat bagus,5,2025-12-29 10:36:43
baik,5,2025-12-29 10:34:30
siiip. saya suka.,5,2025-12-29 10:32:30
bagus bisa dengar musik,5,2025-12-29 10:15:57
dengerin lagu Spotify lebih banyak lagi nya dan lagu nya lagi lagu sad nya mendalamin bangett,4,2025-12-29 10:10:31
saya merasa senang mendengarkan musik di spotify karena lagu yang saya suka ada semua disini..,5,2025-12-29 10:04:17
banyak lagi yng bisa dinikmati,5,2025-12-29 10:04:03
"jahat bet spotify ini, ku lagi main malah di setelin lagu fav nya mantan :). apk nya bagus dah",5,2025-12-29 09:57:49
percuma bikin playlist kalo yang ke play nanti lagu random.,3,2025-12-29 09:49:42
"sangattt bagussss,semuaa laguuu adaaaa,pokonyaa baguss,ga nyesell",5,2025-12-29 09:40:49
Lagu nya lengkap semua💜,5,2025-12-29 09:40:14
banyak banget lagu yang ada di sini aku sukaaa banget,5,2025-12-29 09:36:54
pkoknya keren,5,2025-12-29 09:21:00
iklannya lama dan banyak,1,2025-12-29 09:13:52
mantap man,5,2025-12-29 09:12:06
"apk nya bagus, cuman terlalu kikir. denger lagu 3-5 abistu langsung iklan 90 detik. Youtube aja video 15-20 menit paling iklan cuman 10-20 detik (2-4x). Nih aplikasi the real KIKIR",2,2025-12-29 09:09:15
sangat mantap,4,2025-12-29 09:03:19
gooddd👍👍👍,5,2025-12-29 09:00:53
"udah bagus buat dengerin musik, tapi pls jangan menambahkan iklannya menjadi 3, saya iklan 2 aja udah kesel apalagi dikit² iklan, jadi pls kurangin",5,2025-12-29 09:00:51
"tolong fitur putar ulang lagu jangan dihilangkan , semua penggemar mu yg masih pemula akan kecewa kalau mau memutar lagu berulang2 harus premium dulu...",5,2025-12-29 08:49:39
baguss,5,2025-12-29 08:43:33
